
Nombre, Longitud Nombre Usuario, Fecha de modificación, Fecha de acceso, Tamaño, Bloques en memoria, Permisos, Ejecutable (SI/NO)

elinfiernoexiste.jpg, 5-1, 2016-02-28 18:09:02.000000000 +0100, 2019-04-06 11:52:26.995091100 +0200, 119847, 240, -rwxrwxrwx, 1
libglib-2.0.so.0, 5-1, 2016-02-28 18:08:55.000000000 +0100, 2019-04-06 11:52:29.525773300 +0200, 822344, 1608, -rwxrwxrwx, 1
raid0.png, 5-1, 2016-02-28 18:09:18.000000000 +0100, 2019-04-06 11:52:27.916749400 +0200, 50683, 104, -rwxrwxrwx, 1

